text,Tense,Aspect,Subject Person,Ving
"his own life ; there was n't enough of it left to!!!!!keep thinking all these_ sorry old dioughts . He ate a bowl of chili , very good chili , and a large whole wheat bun , smelled good coffee around him but had none , just the",past,iterative,3rd,think
"f the tracks from us and read : "" And the migrants!!!!!kept coming . ""_ The great migration is generally said to have ended in the 1970s , after six million African-Americans had moved to the North . But the show at the M",past,iterative,3rd,come
"o perform a song for the visitors as rehearsed . I!!!!!kept coming back at_ the director , badgering her for the formula to the change serum that would help me understand not just their world but also this world , my world .",past,iterative,1st,come back
"and to break them down into smaller steps and just!!!!!keep moving forward until_ I was finished . "" Quist 's emphasis on the need for prayer "" lots of prayer "" and the continuous support and encouragement of family are testaments",past,ambiguous,1st,move
"n church for a month , much less baptized , people!!!!!kept telling me ,_ "" You should be a pastor . "" But my seminary training did n't go as planned . The Lutheran School of Theology in Chicago taught me well . Faculty tho",past,iterative,3rd,tell
"companies they founded and named after themselves!!!!!kept plugging right along_ . Spurr knew all of this , telling a writer from this magazine in 2011 : "" I read all the horror stories . I own my own name . "" This was name , but",past,continuative,3rd,plug along
"s conference before the tournament , and the press!!!!!kept talking about all_ this relationship crap . I just did n't want to get in his way . I said , "" He 's out here trying to win a tournament , and I 'm out here trying not",past,ambiguous,3rd,talk
"ng into the life of a touring pro to find a way to!!!!!keep going . With_ that mindset , I see myself doing it for another 20 to 30 years. "" Sanders , who ' s every bit as green as the course he ' s playing on , has to prac",present,continuative,N/A,go
"on readers each month , even as the print magazine!!!!!keeps going strong ._ And a whole new generation of readers is finding , and sharing , Mojo on social media . ( Come join our 1 million Facebook fans ! ) But the upheaval",present,continuative,3rd,go
"Robert Oppenheimer , and Theodore Roosevelt , but!!!!!keeps coming back to_ TJ because "" if ever there were an interesting man , it ' s Thomas Jefferson . "" I spoke with getting into character , the Sally Hemings controversy",present,iterative,3rd,come back
"rding the encounter using an underwater camera . I!!!!!keep waiting for one_ of the dolphins to take off with the scarf , but neither of them does . They seem to want to engage us , however tentatively . They pass the scarf ba",present,continuative,1st,wait
"hoice "" intentions become harder as science itself!!!!!keeps documenting the extraordinary_ and ever more intricate inner workings of both animals and human beings even from the earliest stages of development . By now , the resulting cogniti",present,ambiguous,3rd,document
"he was kind of evasive . But there is a disease we!!!!!keep reading about and_ it 's called AIDS and it 's sexually transmitted . So we want to know if he is homosexual ? ' "" Rather than answer , Stinson went with the doctors ba",present,iterative,1st,read
"going to miss the show , but I ' m still going to!!!!!keep watching it !_ How did the TVD cast and crew send you off ? I ' m a prankster , but nobody had ever gotten me . After my last scene with Ian Somerhalder , they dump",future,continuative,1st,watch
"ar Smart friends have transformed , too . "" People!!!!!keep asking me what_ I 'm doing , "" says Alison Ackerman , a nurse and mom of four who 's dropped 35 pounds total . "" Now I can honestly say , Nothing . ' It 's become a",present,iterative,3rd,ask
"te like cardboard ( a lot of them , anyway ) . You!!!!!keep striving for delicious_ and clean , because of how it makes you feel , but it can be a struggle . Well , you got this . And you 've got us : We 've put together this issue ,",present,ambiguous,2nd,strive
"woman ! "" ' But the invitations to the White House!!!!!kept coming . Several_ newspapers reported that Franklin and Eleanor invited Alice to the White House on February 12,1934 . That was Alice 's 50th birthday , and Eleanor kn",past,iterative,3rd,come
"D.C. , when you could n't , anywhere , so that you!!!!!kept going around and_ around in some sort of eternal one-block turnstile , but fast , with people behind you angry , enclosed in machines so they could n't hear you or kno",past,iterative,2nd,go around
"ut that this was only one study . But the bad news!!!!!kept coming . The_ same year as the PNAS paper , researchers in Australia reported experiments in Cell Metabolism involving mice genetically unable to produce a key enz",past,iterative,3rd,come
"rdson passed up a tray of loose brass tacks . "" We!!!!!kept finding these ,_ and now it seems we 've found a bunch in a pattern -- maybe a decoration for the lid of a wooden box or a book ? "" The mood was festive , and someone",past,iterative,1st,find
"line to intersect the pass reaching its target , I!!!!!kept running as fast_ as I could . Closing on the receiver as the ball came spiraling down from the top of its arch , it was all or nothing ; make or break . In my last st",past,continuative,1st,run
"bumper-to-bumper stream of careening vehicles , he!!!!!kept glancing in his_ rearview mirror with undisguised interest . When we stopped momentarily at an intersection , he shifted around and smiled at Goldie . "" Hello , Susie",past,iterative,3rd,glance
"s n't real cheese . I will keep subscribing if you!!!!!keep hitting it out_ of the park like you did with this issue ! LISA THOMAS ROANOKE , VA . BOWLED OVER I just made the Millet and Oyster Mushroom Bowls and had to let you",present,iterative,2nd,hit
"rying to give it a happy ending again . But people!!!!!kept going back to_ the one that Shakespeare created . You could definitely view Shakespeare as fan fiction , in his own way . I 've only ever written , as far as happen",past,iterative,3rd,go back
"ponent , he says , is excessively negative . "" She!!!!!keeps going on about_ my voting record . "" Evidently , this bothers Halfon because he mentions it on several occasions , including just before we part . Suzy Stride her al",present,ambiguous,3rd,go on
". We 've got a real water problem here , yet they!!!!!keep bringing more people_ in to put their straw in the lake . Things are not going to get any better . "" Woodard , though , knows that halting growth is like corralling a runa",present,iterative,3rd,bring in
"not his first and wo n't be his last . He vowed to!!!!!keep exercising his rights_ . "" The government has made people so afraid of guns , the moment they see them they automatically get scared and that 's wrong , "" Cooley said . "" I",past,iterative,3rd,exercise
"customers . Instead , they must do it passively .!!!!!Keep telling the fans_ that the team is trying . That these kids are scrapping . That a corner is being turned . Or will be any day now . That is n't the case , of course .",present,iterative,2nd,tell
"but they made coaching hires that allowed them to!!!!!keep going . ""_ One of the dominant themes of the NCAA 's new enforcement program was to put more of the hit on culpable people and , to the extent it 's possible ,",past,continuative,3rd,go
"argued on-air about whether he should not pitch or!!!!!keep going , and_ players across the league were debating what he should do . "" It 's a complicated question , "" veteran Los Angeles "" If someone is worth $300million",past,continuative,3rd,go
"ne at home to help him after he was released . "" I!!!!!kept saying , '_ Yeah , I have people . I have 94 people , ' "" said Durrett , who lives in a cohousing community in northern California . "" I had to keep saying it ,",past,iterative,1st,say
"ool , it 's going to be to pass the bar exam or to!!!!!keep getting some sort_ of certification . "" It also applies to their future work life , for no matter the job , she adds , there is "" this element of constantly being judge",future,continuative,3rd,get
"virtue as far as South Carolina was concerned . He!!!!!kept saying in reference_ to court challenges to integration , ' We 've run out of courts . It 's time to get on with it . ' "" Of course , there are questions about whether So",past,iterative,3rd,say
"message resonated : Stay the course , St. Louis .!!!!!Keep working on that_ stadium plan . Make sure that it 's real and viable and will result in a new stadium here . Get the stadium going . It 's the best plan - the best pr",present,continuative,2nd,work
"rces insist that the NFL is encouraging Peacock to!!!!!keep doing what he_ 's doing . Why ? Even if the Rams defect , Peacock 's approach is geared to gaining the NFL 's support to put St. Louis in line to land another franc",present,continuative,3rd,do
them go . I 'm amazed because this narrative they!!!!!keep pushing is so_ at odds with the stark reality I see every day . The reality is that Missouri is ranked the 10th highest among all the states in state prison populat,present,ambiguous,3rd,push
"1 without Kane . "" They did what they had to do to!!!!!keep getting points ,_ "" Hitchcock said unless you really earn it , they give you nothing . There 's no free scoring chances , there 's no free ice . "" They 've focused on",past,iterative,3rd,get
"it , but listened to the crowd for clues . "" Guys!!!!!kept playing the game_ , "" Matheny said . Matheny and catcher Yadier Molina could not see the ending in person because they were the second and third Cardinals ejected by u",past,continuative,3rd,play
"k I 'll make it work somehow . As long as I get to!!!!!keep playing shows for_ people that want to hear my music , I 'll be happy . Keim ( Nox ) : Well , I 'm proud to be apart of the Get Hip artist repertoire . I 'm graduating",present,iterative,1st,play
"auliflower ( $8 ) with a sage walnut pesto , but I!!!!!keep wishing the center_ was soft . And of the three salads on the menu , I prefer the hearty greens ( $11 ) because of the mix and the tart lemon vinaigrette : radicchio , k",present,iterative,1st,wish
"Stapleton , a junior guard on the team . "" People!!!!!keep coming up to_ you . "" Indiana is one of the WPIAL 's best storylines this school year and their story touches more than Indiana folks . Retired Yough athletic dire",present,iterative,3rd,come up
"Central Michigan evaluating another player when he!!!!!kept noticing the special_ skills of a slick 5-foot-10 , 180-pound receiver . "" I think he 's the best receiver in the league , "" said cornerback Cortez Allen , who has to cove",past,iterative,3rd,notice
"r sophomore year on heart and resiliency . And she!!!!!kept winning . ""_ There are athletes who have talent , but have no heart , "" Kim said . "" And there are athletes who have heart , but no talent . Miyuki was the rare y",past,iterative,3rd,win
"t , to accept how little control I had , to always!!!!!keep moving forward ._ At the top of Half Dome , Yosemite Valley lay before us in all its grandeur , a view unlike any I 'd ever seen . Every step , every ache , every doub",past,iterative,1st,move
"CSUF Special Games in May . "" From there , we just!!!!!kept doing different things_ , "" Willis said . Sway offers its members at least three volunteer opportunities each month . "" The whole idea is basically to inspire those who In c",past,iterative,1st,do
""" Things like that inspire me and make me want to!!!!!keep doing this ,_ "" Willis said . "" Those are the kinds of experiences I am looking for . "" In the future , Willis , who describes himself as "" a big sports fan , "" ho",present,continuative,1st,do
"ophone at a recent campaign event . ( his name and!!!!!kept declaring "" I_ love you , Donald . I love you . "" ( Mr. Trump smiled . ) The long lines did not stop Mr. Trump 's coterie from sneaking in friends and family member",past,iterative,3rd,declare
"e previous contractor 's employees are expected to!!!!!keep working at the_ Vogtle site as Westinghouse or Fluor workers . Some of the project 's suppliers are also . There are "" challenges "" to meeting the deadlines , said M",present,continuative,3rd,work
"d such grant in two years , meaning the train will!!!!!keep rumbling through the_ foreseeable future . More than $50 million has been gathered to date thanks also to state and local matching efforts , and BNSF has agreed to cover m",future,continuative,3rd,rumble
"caused by Deflate-gate as they 're calling it just!!!!!keeps getting bigger ._ NBC 's national correspondent Peter Alexander is in Foxborough , Massachusetts , where the New England Patriots have done very little to put this thi",present,ambiguous,3rd,get adj
"y when you 're thirty or older , where people will!!!!!keep asking you and_ asking . And I-- I got married later in my forties . How old were you ? I was forty-one , Wow . Were-- were you feeling at the time a ton of pressure",future,iterative,3rd,ask
ense lawyers say the state 's case is based on . I!!!!!kept looking for the_ proverbial other shoe . I went over it . I just did n't see it . ( voic# Richard Blumenfeld represents Robert Pape and says the case against his clie,past,iterative,1st,look
"with the fear of having their son put to death . I!!!!!kept going over the_ moment . And I could picture a clock at a quarter of twelve and ten of twelve and five of twelve , counting down , knowing now he 's going down the c",past,iterative,1st,go over
"re ? Somewhere around ten thousand is the number I!!!!!keep coming back to_ . Bob Gates has a different number . But Jack Keane , who is the architect of the surge , says that you need trainers at the battalion level . You ne",present,iterative,1st,come back
"Eric Hewett and Dan O'Donnell . Dr. Morrone , they!!!!!keep talking about a_ heel stick . What is a heel stick , born in a hospital ? It 's so difficult to get a blood sample from a baby , the general practice is the heel of t",present,iterative,3rd,talk
"ou guys have got to kick it over . We 're going to!!!!!keep doing this every_ couple of years ? Is that what you 're talking about ? Why not ? You do n't get tired ! You keep doing it till you get it done . You do n't go , "" I",future,iterative,1st,do
"mit of the America 's in Panama as the two leaders!!!!!keep working on a_ new relationship between the U.S. and Cuba . This as Mr. Obama Iran . We want to drill down on both issues with Democratic Senator Bob Menendez , a c",present,continuative,3rd,work
"ed States through a surrogate increases . Yes , we!!!!!keep talking about this_ and the potential for an arms race and yet we have got these ongoing talks with Iran right now . Of course , Iran is pushing back on any checks from",present,ambiguous,1st,talk
"fter lie . As she 's , quote , "" apologizing "" she!!!!!kept saying what she_ did was allowed and above board . Why apologize if it 's allowed and above board ? That 's an excellent question you pose , as usual . You have for t",past,iterative,3rd,say
"stand , Geraldo ? I got it . I got it . Why do you!!!!!keep falling for it_ ? Stop ! Quit writing those headlines because you get me every time . I swear I heard Governor Chris Christie out was the headline . This weekend , I",present,iterative,2nd,fall
"h retirement approaching , these seven pesky faces!!!!!kept coming up in_ his mind . My daughters , my son , my grandchildren . He did n't want to be far from them . Right . And then the health care . He worried about the i",past,iterative,3rd,come up
"nd do laundry and vacuum and everything , see if I!!!!!keep getting bites ._ It 's - sometimes it 's really hard to tell ' cause it 'll be maybe summertime , and maybe you 're getting mosquito bites or you 're exposed to other",present,iterative,1st,get
"prov group or becoming a stand-up . I sort of just!!!!!kept putting myself on_ tape with all of these characters . And it was n't until I got "" The Daily Show "" that they were like , you know , we would love for you to come in a",past,iterative,1st,put
"Hitler as almost crazed , that he would go on and!!!!!keep speaking like a_ phonograph , rather , that he could n't turn off , especially when the question of religion came up . He would talk about how the church had befallen",past,continuative,3rd,speak
"e mask and think , my God , how does he get up and!!!!!keep playing ? You_ did this for 13 years , and you got banged up a lot . Did you ever get to the point where you felt fear back there ? No , never really did . And ther",present,continuative,3rd,play
"but they were n't . So I had no choice . So I just!!!!!kept going . And_ it was n't about me . It was about those kids , and it 's about all the kids walking around . Now we go out and do the film , and people come up to m",past,continuative,1st,go
"lligence community , you start with groups and you!!!!!keep analyzing them in_ groups in these stovepipes and you miss the connections . Final question for you . There has been much kerfuffle about whether the president should h",present,iterative,2nd,analyze
"hts at home and human rights around the globe . He!!!!!kept pressing that agenda_ even as he retired in 1987. We do n't know where we 're going from here and we do n't know what we 're going to do , but I can guarantee you there ar",past,continuative,3rd,press
"Ramadan Fadl. I wanted him to stay engaged and to!!!!!keep praying at the_ mosque , so I suggested he memorize the Koran . Islam memorized a third of Koran over the next year . But he wanted an even more definitive view of l",past,iterative,3rd,pray
"ever dreamed of running for president , but people!!!!!keep asking him to_ . There was a recruit Ben Carson effort that raised more than $10 million . Now , much of that was cycled through , but people were asking him to do",present,iterative,3rd,ask
"l sit and pound the desk about how bad TSA is , we!!!!!keep cutting the amount_ of money they have . And we ask them to do more and do it better . The hearing was cut short after a telephoned bomb threat that turned out to be a h",present,iterative,1st,cut
"shallow model . All you care about is what Yeah ,!!!!!keep showing us your_ cleavage . ROSIE O'DONNELL ( "" THE VIEW "" ) Yes , I 'm all about the labels , the fashion . You know me , America . You 're a label whore . Label who",present,continuative,2nd,show
"ington , oh , there it is , and , and just his age!!!!!keeps getting older in_ his movies and his wives ' age just sort of plateaus out at this , the , the same point . And , like , that 's kind of , can I read it ? That 's a pr",present,iterative,3rd,get adj
"w , it 's petty . And people say , you know , they!!!!!kept saying , you_ know , he 's an embarrassment to our country . He has n't been . The embarrassment is how we have treated this president . Absolutely . And the last",past,iterative,3rd,say
"Because the Republicans are paying a price . They!!!!!keep putting their foot_ in their mouths . So , it 's early . Wait , but wait , wait . Maybe , maybe this is a really good thing because maybe the emails will turn out to be",present,iterative,3rd,put
"try escorting . And I knew she had a husband . She!!!!!kept insisting , no_ , no , he So very quickly you begin working under the pseudonym of Kelly Lundy. Yes . Kelly Lundy advertises her services on Jami 's website with the",past,iterative,3rd,insist
"ls like her conscience ... Especially the ones she!!!!!keeps marrying . Right_ , but , she , her conscience is really torn here , so . Okay , so let 's talk about , let 's talk about another tweet , right ? . Ho fender . ( Inaud",present,iterative,3rd,marry
"ing some of these problems the old fashioned way ,!!!!!keep sending him some_ good legislation , let him veto it , let him explain to Americans why the Republicans had a good idea but it was n't good enough for me. you 're focu",present,iterative,2nd,send
", you know . OK. Not so immediate . Do you want to!!!!!keep moving forward ?_ Do want us to skip trying ? Do you want us to keep bringing you people ? Yeah , definitely . Yeah . You can keep the last , so go on . OK . OK. Throw",present,ambiguous,2nd,move
"gle , Vanessa . Over and over this story , we will!!!!!keep getting into it_ Someone who identified Rigatoni Red said , quote , "" Do not understand the controversy or the damage . Why should not she be able to identify ; howev",future,iterative,1st,get into
"o make the most of what I 've been given . And you!!!!!keep pushing yourself forward_ ; you try new things and that 's invigorating . And I found out that rather than retiring , that just feels better . Just keep moving as long as you",present,ambiguous,2nd,push
"ve gotten in trouble several times . We get , we!!!!!keep getting into trouble_ on this show . So we upset some people . We , we understand that bulimia is a serious illness . We 're just trying to have some fun over here . So ,",present,iterative,1st,get into trouble
"... We said no . Wrong campaign ... Sit down . ...!!!!!keeps pushing buttons and_ boundaries in every way . There 's going to be change , but real change , not Obama change . You remember ? The next president , Donald J. Trump . Tr",present,iterative,3rd,push
"that that was an IED in that bag , would you still!!!!!keep going for the_ shooter ? Unfortunately , yeah . If we had to stop for every bag we found , then obviously we 'd have a problem because we would never get to that gu",past,continuative,2nd,go
"es the dynamics of the race in any way . And Trump!!!!!keeps saying that he_ 's number one with Latinos. I do n't know what -- I do n't what that means . Meaning he has -- meaning he has 1 percent and the rest of the . No , I",present,iterative,3rd,say
"a real pussy , this guy was , a pussy whose words!!!!!kept coming out of_ his mouth in a tangle of pussy attitude shot through with fear . "" killer nutball I 'm fucked sue me ! The liable sucker who gets sued 's me ! Raving",past,iterative,3rd,come
"rouble to engrave this number into a plaque . "" He!!!!!kept rubbing his fingers_ over the letters and counting the thirty-nine heads in the boat , then shaking his own heavy head with the mystery of it . Once he tried to engage Mr",past,iterative,3rd,rub
"shifted and you had to change tactics , you could!!!!!keep moving ahead if_ you did n't waste time dreaming up options . "" Helicopters ? "" "" The EC 135 with a long-range fuel tank will give us five hundred miles round-trip ,",past,continuative,2nd,move
", she added , "" You 're getting warmer , though .!!!!!Keep going . ""_ "" Okay , "" Tom said . "" So who 's car did we drive here in ? It 's not yours . You do n't own a car and still live in a place like this . "" "" There y",present,continuative,2nd,go
"uch greater . I needed to keep her happy so she 'd!!!!!keep recommending me to_ people who were having parties . Tuesday was a lot more pleasant . Tuesday was Paul McMann , a lawyer I never , ever even caught a glimpse of , but f",past,iterative,3rd,recommend
"n was trying to finish his message , but the crowd!!!!!kept interrupting him with_ wild applause . This was not just because he was the man whose engineering genius had saved new York City from a north Korean missile attack three ye",past,iterative,3rd,interrupt
"ght on Pico , drive past Twentieth Century Fox and!!!!!keep heading east ._ I am only half interested in where my car will go next . My muscles go slack . It 's kind of pleasant giving myself over to the care of a luxury Germ",present,continuative,2nd,head
"But all he could think of just then was David . He!!!!!kept remembering the little_ boy who with the milking . Now , staring at the starry sky outside the barn , Rees understood that his sister and her family felt his farm belonged t",past,iterative,3rd,remember
"facepissed forgiveness is hard to doand of course!!!!!kept putting it on_ , and soon I could n't stop giggling . Kate was n't laughing much in those days , kept the straightest face possible , was plainly irritated with her",past,ambiguous,N/A,put on
"s still pinned up from this morning , but tendrils!!!!!kept falling in front_ of her eyes or , more annoyingly , finding their way between her lips . She hooked a strand out of the corner of her mouth and took another sip of he",past,iterative,3rd,fall
"st did n't laugh . "" Indeed , Lord Prism . "" Gavin!!!!!kept forgetting that Ironfist_ was a religious man . "" I 'm not going to go easy on him join my Blackguard , he has to earn it . "" "" Sounds perfect , "" Gavin said . "" He 's a polyc",past,iterative,3rd,forget
"y even as I wondered the same thing myself . "" You!!!!!keep saying thieves ,_ "" I said . "" There are at least two , "" Donatucci said . "" Unfortunately , we can only ID the man who walked out of the museum with the Lily tucked u",present,iterative,2nd,say
"wreck , wondering if she felt the same way . He 'd!!!!!kept fumbling around ,_ and the words just would n't come . Maybe she 'd seen , touched his hand , and smiled . Then in a soft whisper , she 'd asked , "" Who do you love ? """,past,ambiguous,3rd,fumble around
"you have a Medicaid card for the meds . We ca n't!!!!!keep bailing you out_ . "" "" Peter "" Avis started . "" I lost the bloody card ! "" Rochelle 's voice rose . "" Or someone stole it ... I do n't know . But it takes weeks to ge",present,iterative,1st,bail out
"asses that she apparently did not need because she!!!!!kept pushing them down_ to the tip of her nose and looking over the top of the frame . And finally , a slightly older man in jeans trailed behind about ten paces , making no",past,iterative,3rd,push down
"ver . And for another , So does Champ . No need to!!!!!keep harping on it_ . Fayrene puts her hand on Jack 's forehead . "" Do n't worry , hon. If poor Jack catches ammonia while you 're gone , we 'll call an avalanche . "" Ch",present,continuative,N/A,harp
"did not matter what we said after that , though we!!!!!kept talking anyway ._ As if it was all we had . There must have been a day , a single day , when it was too late , when we could not go back , but nobody can remember when",past,continuative,1st,talk
"lous . Shoot me if you can , she thought . The war!!!!!keeps taking pieces of_ me anyway . Makes the rest of me harder to hit . "" There 's one boat still going upriver , "" she said . "" Called the Carthage. "" "" How will we find i",present,iterative,3rd,take
e was madness . A nutty-looking man in front of me!!!!!kept putting his seat_ back in my face . He was a teeny-tiny little fellow and he did n't need to do it . But he kept doing it . He gave off a vibe of complete insanity . H,past,iterative,3rd,put
"ed a detailed budget , something has to change . I!!!!!keep getting e-mails from_ pals saying that they think Mr. Obama must be really smart because he was president of the Harvard Law Review . Yes , but he was elected president an",present,iterative,1st,get
rrot took a giant shit on his shoulder and he just!!!!!kept talking . Matt_ and Cody and the other members of the team met people who yelled at their kids . Who texted while driving . Who talked on the phone so much that memb,past,continuative,3rd,talk
"desire for comfort and control , and he is able to!!!!!keep making them as_ an old man because of the has starred in fifty-one movies and directed thirty-two . He also composes his soundtracks and pilots a helicopter . He wor",present,iterative,3rd,make
"at Torrey Pines in 2008 . The story developed and!!!!!kept getting better ._ Tiger shot that back nine 30 on Friday and it was like , wait a minute , something special is going on here . Then he would look terrible at times .",past,ambiguous,3rd,get adj
"w I 'm convinced : When you 've won the game , why!!!!!keep playing it ?_ How risky stocks are to a given investor depends upon which part of the life cycle he or she is in . For a younger investor , stocks are n't as risky",present,continuative,2nd,play
"etween my place and the bottom of the hill , and I!!!!!keep forgetting this ,_ and holidays are not marked on my calendar . Something that happens regularly to a guy who tries not to go past his mailbox . "" It was only recently",present,iterative,1st,forget
"te 20s , I tore my ACL but did n't get surgery and!!!!!kept playing soccer until_ I was 40. SURGERY AND RECOVERY : My left knee was replaced on Dec. 5 , and that afternoon I was able to walk with a walker . I did physical therapy t",past,iterative,1st,play
"Well , I 've already messed up , so I may as well!!!!!keep going . Once_ your brain tells you that you 've overindulged , stop . Otherwise it 's just putting bad upon bad upon bad . VAL 'S TASTIEST DISHES What 's the next",present,continuative,1st,go
"e of adventure -- and always shall , so long as we!!!!!keep doing science ._ What makes these faraway bodies so unusual ? Find out at!!!!!_25;518;TOOLONG by SIMON BRUTY STURDY ON D ( AND ONLY ON D ) , THE BEARS ASSEMBLED THEIR BE",present,ambiguous,1st,do
"r our freedom . Until they are healed , we need to!!!!!keep affirming our gratitude_ ? but their numbers , the sheer numbers . I have concern that individual soldiers will become lost . "" The effect of combat on an individual soldier",present,iterative,1st,affirm
", my best man seemed doubtful my fiance would show!!!!!kept leaving the room_ , only to return with the increasingly aggravating message , "" Marilyn ' s not here yet . "" Like Father Tom , I smoked a few cigarettes. Like the poe",past,iterative,N/A,leave
"ng herself up with drugs . I screamed "" Why do you!!!!!keep doing come in_ and close the door ; tears started to roll down her cheeks ( although she continued to shoot up ) . She began telling me a story that took place when",present,iterative,2nd,do
"ey can hit that , "" he said , "" I 'm just going to!!!!!keep throwing it ._ "" To keep them honest , he fired his and only two of anything else . The Astros could not hit his best two pitches , and so he did not bother with an",future,iterative,1st,throw
"his hat and coat on the racks provided , but they!!!!!keep falling off ,_ so he keeps repeating the movement , showing little more than a bemused frustration . The action echoes the stammering words of the story , which are",present,iterative,3rd,fall off
". "" I did n't cry much , "" she said . "" My mom had!!!!!kept telling me not_ to cry . She said , ' You think you can solve everything with crying . Do you see me crying ? You have to be strong . ' "" Ms. Jimenez , 34 , took on",past,iterative,3rd,tell
"he IAEA reports on Iran : For example , the agency!!!!!keeps saying that it_ can not "" provide credible assurance about the absence of undeclared nuclear material and activities in Iran "" or that "" all nuclear material in Iran",present,iterative,3rd,say
"s become increasingly more ambidextrous and so to!!!!!keep making his wobbly_ , imperfect lines , he 'll often hold his pencil or brush in an awkward grasp . "" That keeps me from overthinking what I do , "" he explains . Tucker",present,continuative,3rd,make
"while , a big part of the Republican base wants to!!!!!keep driving the party_ 's ideology to the uber-conservative side of the political spectrum , which means passing tough immigration bills . Katrina Pierson , a political act",present,continuative,3rd,drive
"are going to happen . And that 's what we did . We!!!!!kept believing . ""_ You know what happened . Kyle Lohse outpitched the hyped Medlin and would n't buckle under pressure . The Cardinals took advantage of some goofy Atla",past,continuative,1st,believe
"iny school was given the ball , and he scored . He!!!!!kept getting it and_ kept scoring . Redman earned some spurs and a nickname that day -- Red Zone Redman . He did n't make the team that season -- many disagreed with that",past,iterative,3rd,get
"get out of this ? I was panicking . The , the lies!!!!!kept getting more and_ more . Montgomery tells Jessi that his online alter ego Tommy is now deployed to the combat zone , and he is instant messaging her from Iraq . I told",past,iterative,3rd,get adj
"t let sleeping dogs lie . She kept coming back and!!!!!kept pushing a lot_ to do with it . If she had a lot to do with it , that means he did it . Does n't it ? The former prosecutor involved in this case thinks , thinks tha",past,iterative,3rd,push
"n we put some real facts on the table ? Because we!!!!!keep saying we -_ this , that , and we do n't know . We know the facts . He took a leave of absence to go run the Olympics in 1999 . He never returned to Bain . He fil",present,iterative,1st,say
"ing the female in his arms , and was shaking her ,!!!!!kept saying , ""_ Brittney , Brittney . "" She was later identified as Brittney Brashers. Brittney was an incredible person , an even better friend . And after she grad",past,iterative,3rd,say
"nation how two people find each other and why they!!!!!keep going back ._ It 's how illnesses -- I heard they were hanging out the other night . They were ? Nice . Let 's get off of them . Girl , what are you thinking ? You",present,iterative,3rd,go back
", a U.N . bureaucrat based in Geneva , which they!!!!!keep pointing out ,_ is going to have power over an American child . That just does not seem to be the case . It is not true . It is simply an invented , paranoid fantasy",present,iterative,3rd,point out
"close more and more documents , again , get him --!!!!!keep talking about Bain_ , educate voters more about what Bain was , how much money he made at Bain . So again , throw out the charges , let them blow up , and the shrapnel w",present,ambiguous,2nd,talk
"oing what you do to me. No , I 'm making a point .!!!!!Keep going . I_ was only going to say that tying him to House Republicans is the right thing to do and a good strategy . And Paul Ryan is extreme Republican in the H",present,continuative,2nd,go
"atever it takes . This is going to backfire . So ,!!!!!keep acting up and_ you 'll see what 's going to happen . What do you think , Dana ? Should the White House , not necessarily the campaign in Chicago , but should the Wh",present,iterative,2nd,act up
"it takes everyone 's eye off the economy so if he!!!!!keeps screwing up like_ this he 'll win . Yes , that 's a good point "" when he said that everyone is talking about this . They are not having the real debate about the econo",present,iterative,3rd,screw up
"believe it 's 51 . what Mitt Romney needs to do is!!!!!keep hammering President Obama_ . Mr. Obama , is al Qaeda on its heels or are they not ? Because you told the American public , bin Laden is dead , al Qaeda is on its heels . We hav",present,iterative,3rd,hammer
to record stores and had them sell it and then he!!!!!kept doing that until_ he had an official record label . Then he owned his own record store and then he became the head of a lot of record labels in his life . And over the,past,iterative,3rd,do
"balance the federal budget by 1991 , but Congress!!!!!kept rolling back the_ timetable . After leaving the Senate , Rudman co-founded the Concord Coalition , which still advocates a balanced budget . Warren Rudman was 82 years",past,iterative,3rd,roll back
", that we have to live with . But we also have to!!!!!keep going on as_ a church with integrity . And , you know , you used the phrase "" cracking down . "" we certainly have cracked down on sexual abuse , and have done - m",present,continuative,1st,go on
"or more intense storms ? The best thinking - and I!!!!!keep putting it this_ way . I keep saying the best thinking because I do n't want to pretend , and climate scientists wo n't pretend that they know everything . So they ma",present,iterative,1st,put
"a steamer , hit Orpheus on the starboard side and!!!!!kept going . Orpheus_ , her rigging damaged , also kept going . The steamer that struck Orpheus was Pacific . After the collision , water had poured through the hull , dro",past,continuative,3rd,go
"es functioned as fishing expeditions : researchers!!!!!kept looking at subgroups_ until they found ones with the "" right "" signal . The fact that different studies the youngest group -- suggests that maybe the signal is real , and",past,iterative,3rd,look
"give up on my goals . I can be like Beethoven and!!!!!keep trying even when_ things get difficult . "" Making a Difference The contributions of many individuals are recorded in the fabric of our society . Print and online biogr",present,ambiguous,1st,try
"ght it was funny . "" What 's for dinner ? "" Doolin!!!!!kept going , like_ a Britney Spears song that repeats over and over and over till you want "" DEAD ! MEAT ! "" "" What 's for "" Then somebody else yelled out even louder .",past,continuative,3rd,go
"k sat only half listening to Mr. Guizot ; his mind!!!!!kept wandering . He_ was trying to piece together what his life was going to be like now . He realized this was no time to be distracted , he needed to focus on whatever",past,iterative,3rd,wander
"is contrived , cheerful voice . My sister Airedale!!!!!kept petting JFK 's_ haunches , saying , "" That 's our boy , that 's our boy . "" His dry tongue fell from his effort to kiss each of us . He let out a sigh every now and",past,iterative,3rd,pet
