text,Tense,Aktionsart (C/I),Subject Person,Ving
"Being late will count against you far less if no one has been <kept waiting around as> a result . If you are late , apologize in a straightforward way with a brief reason .",PASSIVE,PASSIVE,PASSIVE,PASSIVE
At a meal have a glass of water as well as wine and <keep sipping at the> water so that it is not your wine glass which is being constantly refilled . Try drinking white wine mixed with sparkling mineral water or soda .,present,iterative,2nd,sip
"But remember that if you <keep doing so you> will find people are reluctant to take on your case . If you are dealing with a matter which upsets you , you may not be as objective in your judgement as you would normally be and you may be oversensitive .",present,iterative,2nd,do so
there is evidence of incompetence ( your file <keeps getting lost !> ) ; ( d ),present,iterative,3rd,get lost
"`` Something 'll come up , '' she said , `` ye 've just tae <keep trying . If> ye keep trying something must come up . '' `` Naw .",present,ambiguous,2nd,try
"Parker 's face was a mask of blood and he <kept brushing at his> eye . But crazed with lust , it rode him on : he had come so far , and bunching up his shirt .",past,iterative,3rd,brush
"When Patrick was asked if he thought it was balanced , he replied `` No , because it <keeps over-balancing '' .> When asked why he thought this was so , without examining the tree he said , `` It can not be the same on both sides '' .",present,iterative,3rd,over-balance
He then tried propping the others up on the climbing frame but they <kept falling off .> He could not suggest why this should happen .,past,iterative,3rd,fall
Would it be more sensible in the long run to buy a second-hand television rather than to <keep renting one ?> How many clubs do you subscribe to that you never really visit ?,present,continuative,N/A,rent
"A freezer will also help you to save money , providing you do not <keep filling it with> expensive exotic ice creams or whole sides of beef . A freezer should be there for you to maximise on your budget by storing economically prepared foods such as soups and stews , and for storing either your own garden produce or purchases of vegetables and fruits when they are at their cheapest .",future,iterative,2nd,fill
"You can not answer the door ; take people 's coats ; circulate and generally be a good host/ ess , if you <keep going into the> kitchen . Hot food is not feasible unless you have a hot tray , an electric fondue set , or a slo-cooker , which can all be placed on a buffet table and used for keeping things warm .",present,iterative,2nd,go
"A few army bell tents were put up quickly , but the marquees remained packed in huge bales while lorries <kept arriving with yet> more gear . Arrangements were further complicated by the arrival of an orthodox Bachad group who demanded a separate kosher kitchen all of their own , which they maintained right up to the time of their departure to Gwrych Castle at the outbreak of war .",past,iterative,3rd,arrive
"`` He buys me panties , bras and garter belts that are really sexy , '' she said before going on to reveal , `` When I was designing underwear he <kept saying , ``> Make sure there are some sexy bits . '' '' `` Nevertheless , when it comes to his own undergarments , her spouse is more circumspect and Miss Hall confides that `` he wo n't wear boxer shorts .",past,iterative,3rd,say
Different people <kept chipping in with> their ideas of what would fire the national imagination sufficiently to get the people to the polling booths . At last a weary voice was heard from the elderly statesman ranks of the trade union bosses .,past,iterative,3rd,chip in
"I suppose I 'd like to feel safe in the knowledge that whatever else happens to music , people will just <keep listening . I> think we all need it , after all . '' Richard Cook",future,continuative,3rd,listen
Then I 'd wonder why people <kept telling me not> to take it and conclude that they just wanted to keep it all for themselves . So I 'd thank Mr Fry for his kind advice and start saving for my first toot toute suite ...,past,iterative,3rd,tell
"Sadly that corner , like the proverbial corner the economy <keeps bumping against ,> was not turned . I am , however , rather pleased that my crystal ball behaved so well this year .",present,iterative,3rd,bump
`` One Saturday we were <kept waiting for TWO> MINUTES for Science Now on Radio 4 which then ran its full 30 minutes . So I missed the first two minutes of Jazz Record Requests on Radio 3 . '',PASSIVE,PASSIVE,PASSIVE,PASSIVE
"The path through the village , flanked on one side by the backs of the houses and on the other by the looming cliffside , was as pervasively dark as a cave and we <kept stumbling over rocks> , getting our feet wet in puddles and pools of mud . Eventually we came out in the comparative brightness of the open space behind the house .",past,iterative,1st,stumble
"When I <kept telling him what> controls to use , the repeated reply was , `` OK , but I 've never done this before '' , but he never sounded frightened . We had one chance to get it right and , thank God , we succeeded .",past,iterative,1st,tell
"<Keep listening until you> are sure that you will recognise the sounds the next time you hear them , then withdraw the spade and push it back into the ground some feet away . Listen again .",present,iterative,2nd,listen
"<Keep trying different spots> until you become aware of how and where to obtain the best signal . Once you can do this without the aid of the locator , you will have the satisfaction of knowing that your own skills alone will enable you to make use of this last-ditch method of rescue .",present,iterative,2nd,try
"The soldiers stared at the food , and <kept swallowing . He> learned , when he asked , that they had eaten already , from stores given out in the barracks . It explained , he thought , the absence of Diniz .",past,iterative,3rd,swallow
"Surely she was too thin by far for a man 's taste , yet the one at her side today was a toff and no mistake , and it was obvious he cared about the girl by the way he <kept looking at her> with concern in his eyes . Maggie was intrigued .",past,iterative,3rd,look
"He 's hot and 'is bowels <keep running . ''> She was propped against the cold , damp wall with the baby in one hand and a bottle of gin in the other .",present,iterative,3rd,run
"Her new position made her nervous but she <kept breathing deeply to> conquer it , and looked forward to proving herself worthy of the promotion . At six o'clock everyone assembled for dinner and Mr Priddy signalled that the first course could be taken in , a heavy tureen of mock turtle soup which was to be served from a side table .",past,iterative,3rd,breathe
"Long after Mary Duncan was asleep James continued to sit beside her , his thoughts disturbed by the day 's events , and little Anna Beckett , whom he had seen that afternoon , <kept tugging at his> conscience . She was a strange little girl , advanced for her age and surprisingly sensible for one afflicted with the symptoms of epilepsy .",past,iterative,3rd,tug
"When in doubt , <keep going . That> was what her father used to say . Do n't look to the right , to the left , or over your shoulder , but concentrate on where you 're going .",present,continuative,2nd,go
"Although it was Dorothy who had come to interview the officials at PopCon ( '' an Intergovernmental Agency for Fundamental Research into the Worldwide Problems of Population Stabilisation' ) , she <kept getting the impression> that it was they who were interrogating her . `` What are you after ? ''",past,iterative,3rd,get
"Why , he <kept asking himself ,> did a woman , trained in the art of healing , who had been a naval medical officer and not somebody 's wife , suddenly volunteer for something that was inevitably going to be highly dangerous --- and almost certainly involve her in killing --- at close quarters ? Her records were , of course , put at his disposal .",past,iterative,3rd,ask
`` I <keep seeing a periscope> ... '' she semi-joked . Delaney was suddenly alert .,present,iterative,1st,see
"She <kept glancing behind them> . The corridor remained empty , as far as she could tell .",past,iterative,3rd,glance
Jennie told Katharine to <keep pushing with her> inside leg and holding him with the outside rein to stop him walking forward . Katharine tickled Benji with the whip to keep the activity and the bend until he was back on the track .,past,continuative,3rd,push
"`` I 'll <keep phoning . ''> `` I 'll be fine , Mum . ''",future,iterative,1st,phone
But they <keep going . ''> She looked defeated .,present,continuative,3rd,go
"The name must have stuck in his mind because that 's what he <keeps muttering all the> time . '' `` Yes , Mum .",present,iterative,3rd,mutter
They <kept talking about this> creature . They said it had been captive but had escaped . '',past,iterative,3rd,talk
"Jack <kept looking at his> watch ; time seemed to move painfully slowly and each minute was like an hour . By ten past nine , both boys were becoming more and more convinced that no one was going to arrive .",past,iterative,3rd,look
"The aim is to start walking and <keep walking . But> first a HEALTH WARNING ! If you are uncertain about your physical condition ; if you are overweight , suffer from cardiovascular or respiratory disease , or have a medically diagnosed problem , then you should consult your doctor before starting to walk briskly .",present,continuative,N/A,walk
"Remember that you are not only burning up calories while you walk , but your increased metabolic rate will <keep burning up calories> when you finish walking . DAY 14 --- Repeat Day 13 .",future,continuative,3rd,burn up
"<Keep walking ! It> may take longer than 30 days to achieve your goal weight ; it depends how much you need to lose . But when you do achieve it , you will find that you can then use aerobic walking as part of an ongoing maintenance programme to keep you at your goal weight .",present,continuative,2nd,walk
"In business the objective if you sell goods is to <keep selling more goods> ; if you lend money , to keep lending money and increase ever increasing targets . That 's all very well if people/customers can repay .",present,ambiguous,2nd,sell
"In business the objective if you sell goods is to keep selling more goods ; if you lend money , to <keep lending money and> increase ever increasing targets . That 's all very well if people/customers can repay .",present,ambiguous,2nd,lend
Meanwhile the `` Lady Mayoress '' <kept gathering up her> skirts and hitching up her bosom as `` she '' jumped from the trap in order to dash up to the houses and implant a big kiss on the cheeks of the inhabitants . Passing motorists were stopped and kissed or paid the penalty of a fine if they refused .,past,iterative,3rd,gather up
"As Mr E Preston , chairman of the Egton Bridge Old Gooseberry Society said , `` Once it is in your blood , it just <keeps going '' .> With the increase in the number of people having their own transport , those who have left the area are able to return for the show .",present,continuative,3rd,go
"Burning Bartle is not an especially spectacular event , but one which the local people are determined to <keep going . The> question of who Bartle was has given rise to a number of theories and , as with most traditions , fact and fiction , legend and folklore have become inextricably intertwined . I went to see the event in August 1984 .",PASSIVE,PASSIVE,PASSIVE,PASSIVE
`` What a glorious tradition to <keep going ! We> will never let it die out whilst we have children to pass it on to . '' SEMERWATER SERVICE,PASSIVE,PASSIVE,PASSIVE,PASSIVE
He had to <keep scratching . Always> a different place . `` Where 've you been ? '',past,iterative,3rd,scratch
"They 'd almost reached the place where the party was , but she told the driver to <keep going . ``> Just drive around , '' she said . `` Take us back in twenty minutes . ''",past,continuative,3rd,go
"He <kept seeing the streetlights> again , those streetlights trembling , as if the whole world was scared . `` Do you need me again today ? '' he said .",past,iterative,3rd,see
"One evening in August --- it was their fourth night in a row ; her blood <kept flowing that month> --- he turned to her and saw an expression on her face that he did n't recognise . It was like wonder , and he could n't guess the root of it .",past,continuative,3rd,flow
He was driving fast and the road <kept surprising him .> Those riverbeds could snap an axle as crisply as the way that Zervos snapped his fingers when he danced .,past,iterative,3rd,surprise
He had to <keep breaking off so> he could mop the sweat from his face and neck . Nathan hailed a taxi on the front steps of the station .,past,iterative,3rd,break
"The sickness rose into his throat , and he had to <keep swallowing . He> was glad that they 'd all decided to come . He would n't have liked to be doing this alone .",past,iterative,3rd,swallow
"Her eyes <kept alighting on Yvonne> and taking off again . They tried the walls instead , but there were forty-six paintings on the walls .",past,iterative,3rd,alight
"The funeral director had a cold ; he had to <keep reaching into the> back for tissues . `` Usually , of course , these are for clients , '' he said , `` but in this case , if you do n't mind , '' and he blew his nose again , and sighed .",past,iterative,3rd,reach
"With this Demon you 'll lose loadsa Fuzzies , so you must get out of sync as soon as possible ( it 's tough , so <keep trying ) .> Vary the number of bounces before sending the current Fuzzy left , or alternatively stop the Fuzzy in mid-transfer , then continue when the Demon moves past .",present,ambiguous,2nd,try
"Maniac Mansion , more of an animated adventure than an RPG , is no longer available --- <keep checking those car> boot sales and market stalls . 3 .",present,iterative,2nd,check
I have a friend who owns an ST and he <keeps telling me to> sell my C64 . Well if he does n't like my C64 why does n't he buy me an Amiga 500 for my birthday ?,present,iterative,3rd,tell
And <keep sending those letters> to SCORELORD,present,iterative,2nd,send
But please do n't <keep calling me your> `` Czech '' mate . Frankenstein,present,iterative,2nd,call
"<Keep drawing , Ms> Madelin , you 're in the best of company ! Jane Culmer East Grinstead",present,ambiguous,2nd,draw
`` They <kept praying all the> time ! '' From there things got tougher .,past,ambiguous,3rd,pray
"`` Her name <keeps cropping up in> this case . The American lad , Lee Horan , was under the impression that she was Dominic 's girlfriend , but apparently she denied it to him , as she did to me .",present,iterative,3rd,crop up
"Helen <kept saying , ``> Take me away from here , Karim , '' and really getting on my nerves , so soon Dad and Helen and I went downstairs . `` What 's going on ? ''",past,iterative,3rd,say
"Now he felt playful : he <kept tickling the cushion> next to him and saying , `` Come here , come here , little Eva , and let me tell you a secret . '' They still played sickening games that I could n't avoid , like putting sperm on each other 's nose and calling one another Merkin and Muffin , for God 's sake .",past,iterative,3rd,tickle
"`` Just try it , '' he <kept saying as we> went outside the rehearsal room to argue . `` You 're very conservative , Karim .",past,continuative,3rd,say
"`` How has Charlie done this ? '' she <kept asking . ``> We 'll soon find out , '' I said . `` Do their mothers know they 're here ? '' she asked .",past,iterative,3rd,ask
"`` I thought it would be more amateur , '' she <kept saying , obviously> surprised that I could be involved in anything that was n't a total failure . `` But it was really professional !",past,iterative,3rd,say
"Lisa was very happy in Lourdes she loved the little spring inside of the Grotto , as soon as she saw it she could cling onto the railings and <keep saying `` hello> , hello '' . She enjoyed all the hustle and bustle of people and music .",past,iterative,3rd,say
"In a `` <Keep Doing It With> Wispa '' competition held by the chocolate manufacturers the nomination of the school was chosen as a winner , resulting in the delivery of over 800 Wispa bars . The winning nomination , sent in be the school 's assistant headteacher , Mrs. Brenda Hart , was a tongue-in-cheek statement that everyone worked together as a friendly and cheerful team to uphold school standards in spite of Government directives and the pressures of society !",present,ambiguous,2nd,do
"Herod had arrested John because John <kept reminding Herod of> how wrong he had been to marry Herodias , who was already married to Herod 's brother Philip . Now you may have noticed that bullies do n't like having their faults pointed out to them , and so Herod had John locked up in prison .",past,iterative,3rd,remind
"Herod 's still at it , but this time he 's feeling worried because so many people <keep telling him how> wonderful this Jesus person is . Bullies like to be Number One and the thought that someone else could be muscling in on his top-spot got Herod in a bit of a strop .",present,iterative,3rd,tell
"Again , explain what 's been said to a close friend and <keep reminding yourself that> in God 's eyes you are a successful , important and useful person . ( See chapter 2 --- `` A testing time '' . )",present,iterative,2nd,remind
"<Keep pestering your parents> ( if they are Christians ) , or your church leader or youth leader for answers , and listen carefully to what they say . A final word of warning on this point --- do n't be disappointed if the answer has to be , `` I do n't know . ''",present,iterative,2nd,pester
"It <keeps using this word> , LOVE . In fact if one thing marks out a Christian as being different it should be this thing called `` love '' .",present,iterative,3rd,use
"The woman refused to sit in his presence ; she <kept looking over her> shoulder as if she feared her husband would come in . Edouard saw that she had bruises on her wrists , and that one side of her face , which she tried to turn away from him , was swollen .",past,iterative,3rd,look
"`` I manage , '' the woman <kept saying , in> response to his questions . `` I manage .",past,iterative,3rd,say
"His object was to persuade Edouard --- not persuade , he <kept reminding himself ,> tell ! who was the baron de Chavigny after all ? --- to invest in further acreage of vineyards in Algeria as well as timber and olive plantations there . Jean-Paul was in no doubt that he was on to a good deal .",past,iterative,3rd,remind
"Your best course is to <keep visiting her ,> if she will have you , with patience and understanding and watch how the situation develops . If she shows signs , after a while , of sliding into a depressive illness , it may be wise to have a quiet word with her doctor .",present,iterative,2nd,visit
"This arrangement was <kept going very nicely> by her daughter ( who had a real affection for her ) reminding her occasionally that although she sometimes had to cut their conversations short , she never cut her out of her thoughts when she put the phone down . Visits from a local authority social worker can also do much to open up other lines of communication for the old and lonely ; and it can be helpful too for any elderly person who is housebound and not within easy calling or tapping distance of her neighbours , to have a large clear HELP notice to put in her window , and a loud bell to ring in an emergency if there is no telephone .",PASSIVE,PASSIVE,PASSIVE,PASSIVE
"Calories are units of energy , the energy we need to <keep going . We> consume these calories in the form of food and use them up in maintaining the body 's functions and movements . All foods supply calories , but in widely varying quantities on an ounce-for-ounce basis .",present,continuative,1st,go
"Shedding surplus weight depends on providing your body with fewer calories than it needs to <keep going . This> is the only way in which it can be forced to feed on its own surplus fat . Never believe anything else , whatever silly things you may read or hear elsewhere .",present,continuative,3rd,go
"Removing all I can with a salt bath , and using various propriety parasite treatments have had no effect , the leeches just <keep coming back .> The Fish Leech , Pisciola geometra , can cause serious damage , or even death in large numbers .",present,iterative,3rd,come back
My Guppies <keep getting pregnant but> I have never seen any fry . What can I do ?,present,iterative,3rd,get
My female Ps. lombardoi <keeps developing a sort> of round white patch on the top of her mouth which turns black after a week only to turn white again . There are no signs of fungus and the fish is otherwise all right .,present,iterative,3rd,develop
"All the test phials , reagents and other relevant equipment come with the test kit , although refills are available , so you do n't have to <keep purchasing the entire> kit every time . All you need is a sample of aquarium water .",present,iterative,2nd,purchase
"Such filters should be <kept running right through> the winter , although the water circulation need not encompass the whole pool : in other words move your submersible pump closer to the filter so that there is a shorter `` loop '' . While you are doing this , check that the impeller is clear and that hose connections are tight .",PASSIVE,PASSIVE,PASSIVE,PASSIVE
I feel I ca n't <keep dosing the tank> with finrot remedy . None of the other fish are affected .,present,iterative,1st,dose
"I <keeping loosing my fish> --- especially Dwarf Angels . My tank has been matured since last December and I have lost a Fireball Angel , a Swallow Tail Angel and a Cream Angel .",present,iterative,1st,lose
`` Everyone <kept telling him he> should win . Now it will be easier .,past,iterative,3rd,tell
"`` Kids <kept insisting on actually> meeting `` The Raisins '' , so they were brought to life for celebrity appearances in New York 's Thanksgiving Day Parade --- and even for the presidential inauguration , '' said Ms Wood . `` We persuaded people to think of raisins as warm , funky and cool --- and it worked . ''",past,iterative,3rd,insist
Stir in the yogurt and vanilla essence and <keep stirring until everything> is well mixed together --- the mixture will be lumpy because of the banana . 3 Grease a muffin tin and fill each hollow with two large tablespoons of the mixture .,present,continuative,2nd,stir
"Do you think it 's like the mathematical conundrum where you <keep halving the distance> to your goal , but you never actually arrive ? `` Yes I do .",present,iterative,2nd,halve
"I 'm still uncomfortable about the overall effect , but <keep reminding myself that> I 'm dealing with someone else 's baby ... IN USE",present,iterative,1st,remind
"`` Anyway , everyone <kept asking why I> did n't do my own brand amps and so about `` 86 I started . I guess I was the first person to develop the idea of the modular system : ie. everything from the preamp to the power amp was modular .",past,iterative,3rd,ask
"`` And it <keeps getting bigger and> bigger , and so we keep coming back to complain about the size of the hotels and the lousy service , and STOP PUTTING CUCUMBER AND BUTTER ON MY F***ING SANDWICHES ! Gim me some meat !",present,iterative,3rd,get adj
"`` And it keeps getting bigger and bigger , and so we <keep coming back to> complain about the size of the hotels and the lousy service , and STOP PUTTING CUCUMBER AND BUTTER ON MY F***ING SANDWICHES ! Gim me some meat !",present,iterative,1st,come back
"It really looks something , and judging from the amount of saliva I have to <keep wiping off the> top , everyone else thinks so too . But good looks ai n't going to count for much if the sound 's not up to much .",present,iterative,1st,wipe
"Sorry to <keep bringing Gibson into> the story , but their layout which sites the treble controls towards the guitar 's rim and the bass controls nearer the pickups , with volumes forwards and tones rearwards , makes the most sense . But not only have Rickenbacker rotated the whole layout one notch ( front pickup controls forwards and back pickup controls rearwards ) , but the volumes are the two pots furthest away from the player 's hands while the tone controls sit closest to you .",present,iterative,1st,bring
`` I know I <keep mentioning AC/DC but> they 're the king of groove guitar bands for me . When you listen to their records they 're always a lot slower than you perceive them to be .,present,iterative,1st,mention
"Well , I did <keep pressing the Program/Channel> button instead of the program decrement button , which puts the TriAxis into MIDI Channel mode and I could n't immediately work out how to get back to Program mode . But that 's learner-pilot error on my part , and I 'd soon over-come it with use .",past,iterative,1st,press
"Hopefully I also <keep progressing , or> really there 's no reason to keep going . In fact I 'll change with the last record that I heard ; if I hear someone I really like on a record , or even at a gig before I play , then the chances are I 'll be playing some of his licks .",present,continuative,1st,progress
"On the first one , I was making the record and I broke a string on my Firebird and could n't be bothered changing strings , and so I plugged the Lazer in and it sounded so good that I <kept using it .> I think I made half the record with the Firebird and the other half with the Lazer .",past,continuative,1st,use
"As I said more than once during this review , I <keep forgetting that what> I have in my hands is a ?300 Korean-made guitar , not one costing three times as much . Therefore , any criticisms should be balanced against that .",present,iterative,1st,forget
"Remember , and <keep remembering , that> you are special because you are a person , not because you do ( or do n't do ) a particular job or because of what you do ( or do n't ) possess . You , as a person , matter .",present,ambiguous,2nd,remember
"Wrong positioning ( below ) The speechreader can not see both speakers unless he <keeps turning his head> : Once a conversation has been interrupted , the train of thought has been broken .",present,iterative,3rd,turn
"And Nichols <kept saying , ``> What are we going to do about his nose ? '' He wanted me to look as good as I could .",past,iterative,3rd,say
"He found that the plastic namebar on his mailbox <kept being pinched by> fans , so he bought a hand label machine to replace it daily . He also read all his fan mail each evening , and answered all of the letters , by hand , except the cranky ones .",past,iterative,3rd,be pinched
"Gardner 's script contains other doubtful gems such as , `` I <keep thinking , how> come I 've got kids and I 'm only eighteen years old . Those kids are like clocks ticking away '' , and `` Time is not a thief , it 's an embezzler . ''",present,iterative,1st,think
"He <kept going on penicillin> shots , but his condition continued to deteriorate . Finally , clutching Joie Gould with one hand and a bottle of Scotch in the other , he was sent off by train to a London clinic .",past,continuative,3rd,go
"If you find someone who claims to be a qualified hypnotherapist and who uses this technique , I would advise you to <keep looking . Probably> the most common form of induction is by vocal suggestion . This involves the hypnotherapist talking you gently and quietly through a basic relaxation exercise which is not unlike the early stages of yoga .",present,continuative,2nd,look
"And yet , as she <kept repeating , she> was convinced that there was something that no one was telling her . Since Kirsty had been feeling quite confident before the operation and yet that feeling had disappeared immediately after surgery , it seemed that something must have taken place in the theatre itself .",past,iterative,3rd,repeat
"It did n't seem like a diet --- in fact , if there was one sentence that <kept reappearing in most> of the letters I received , it was : `` You ca n't call this a diet , it 's more a way of eating '' . And if we can enjoy a reducing diet , it follows that we wo n't mind following the basic principles in the long term .",past,iterative,3rd,reappear
"As Commissioner for Rutshire , how could she hold dignified get-togethers with her guides when expletives and polo balls <kept flying over her> hawthorn hedge ? Nor did any of the rest of the Parish Council come to her aid .",past,iterative,3rd,fly
`` Everyone <keeps telling me she> needs a father . But it 's tricky if you 're a single parent --- is n't that a ghastly expression ?,present,iterative,3rd,tell
"It seemed he was deliberately galloping very close past her to upset her chestnut mare , who <kept taking off into> the pampas . he had fallen off twice more and ridden twelve different ponies by lunchtime and was so tired she could hardly eat .",past,iterative,3rd,take off
I <kept being carted all> the way to Buenos Aires . '' Perdita stared moodily at the horizon .,past,continuative,1st,be carted
"On the Friday Lorenzo Mendoza lost his temper with a pony that <kept going up with> him . Pulling it over to frighten it , he failed to jump clear and the pony fell on him , smashing his thigh .",past,iterative,3rd,go
"<Keep clicking on NEXT> and the whole range of palettes will be displayed in ascending numerical order . Eventually , you will arrive at a palette that has all the sections in the palette box an even shade of grey .",present,iterative,2nd,click
"My one and only love , <keep purring in my> arms . You know you ca n't love people , Lee , because they are frightened of life and I think they are quite right and should beware of everything , especially camp comedy , the Communists , erotic fiction and you .",present,continuative,2nd,purr
"Something about mystery or misery and `` Gabriel `` Gabriel , Gabriel , '' you <kept saying . ``> Gabriel '' and people and knowing something . Nothing really .",present,iterative,2nd,say
"<Keep growing chrysanthemums ,> darling and wearing daisies , the hooch is not good for you . What 's the matter ?",present,continuative,2nd,grow
"Bear in mind that we can <keep changing our goals> --- but unless we have a destination in mind , we are unlikely to set off at all . Our impulses , desires and Dreams are fingers pointing at the moon .",present,iterative,1st,change
"Our Higher Self is eager to give us a life full of love , joy , success and abundance ; but it will not do so until we say `` Yes '' , and we <keep turning our backs> on it . Day after day , we choose the dimly-lit cellars .",present,ambiguous,1st,turn
<Keep asking yourself throughout> the day `` Is this the best use of my time ? '' 5 .,present,iterative,2nd,ask
"Are you `` short-changing yourself by eating junk food , when your inner guidance <keeps whispering that you> should eat a healthy diet ? Or is it an opportunity for you to be assertive --- to go back to the shop , and request that they cash up and return your fiver ?",present,iterative,3rd,whisper
"Like Matthew , we will <keep creating realities which> coax or provoke us into feeling anger --- by being hurt , by suffering from injustice , by seeing a world full of hatred and cruelty . The more we block anger , the more destructive it becomes in our reality .",future,iterative,1st,create
"How they always love her and <keep nudging her .> ( `` Of course , one falls over , unless one is standing against a wall . '' )",present,iterative,3rd,nudge
"I <kept asking silly questions> and , trying to get a picture of the poor demented maid , asked how old she was . `` She was fifty-seven .",past,iterative,1st,ask
"There were only four of us --- the other the wife of the French attach? who <kept talking about French> literature while Ivy fidgeted with her bread and kept glancing at her chest . The smallest French phrase made her glower , and she hardly said a word .",past,ambiguous,3rd,talk
"There were only four of us --- the other the wife of the French attach? who kept talking about French literature while Ivy fidgeted with her bread and <kept glancing at her> chest . The smallest French phrase made her glower , and she hardly said a word .",past,iterative,3rd,glance
"Davidson and the General <kept hinting that I> would be much better off without it , but I was terrified that without it I should never be able to fly again , so refused to let them touch it . By the third morning , however , I was so weak and the pain so unbearable that they had little difficulty in taking me up to the theatre and performing the necessary operation .",past,iterative,3rd,hint
"Stockings were never long enough and the tension between suspender and stocking-top would result in spring-loaded legs ; if you had to run for a bus , the legs would <keep going for three> stops . My grey school skirt would be swapped for a rock-and-roll dirndl and six net petticoats , painstakingly dipped in sugar water to make them stiff when dry ; after the first four dances , the heat from my body would melt the sugar and my nylons would stick together .",past,continuative,3rd,go
"Space , however , was limited and Malc and I and the kids had to share one bedroom and <keep praying for a> council house of our own . ( Such aspirations . )",past,iterative,1st,pray
You jest <keep doin' that .> '' Willie stroked him .,present,ambiguous,2nd,do
Willie felt exhausted but he was determined to <keep going . He> nodded . Between them they started to cover the shelter until it was time tor Tom to leave for a meeting in the village hall .,past,continuative,3rd,go
`` I share with David an '' he 's bound to <keep comin' in to> see what we'se doin' and Edward has n't had a room of his own ever . Now that Mike 's gone he guards it like it were a blimmin' gold mine . '',present,iterative,3rd,come in
"HOFFS WAS the Bangle who looked , er , `` cute '' , sang lots of hits and got a solo deal last year which has just resulted in the brilliant ( and witty ) LP `` When You 're A Boy '' , containing both Bowie 's `` Boys <Keep Swinging '' ---> hence the name --- and the steamy-ish hit single `` My Side Of The Bed '' --- hence the UK visit . Susanna likes being a solo artist .",present,ambiguous,3rd,swing
These words <keep coming into my> head ! '' Susanna pulls herself together .,present,iterative,3rd,come
"`` When You 're A Boy '' features a very droll version of `` Boys <Keep Swinging '' ,> as well as some seriously funny takes on '60s and '70s pop . `` That all kinda balanced out that other side of me that 's attracted to emotional songs , '' nods Hoffs .",present,ambiguous,3rd,swing
"But it does seem that if you <keep re-delivering the right> kind of goods , there 'll come a time when the customers start queuing all over again . Encouraging news for those who re-run and re-package at frequent intervals .",present,iterative,2nd,re-deliver
John Cole <Keep shoving till the> end : the most exciting campaign in years hangs in the balance John Pilger Labour shares the Tories ' great power pretensions,present,continuative,2nd,shove
John Cole <Keep shoving till the> end The most exciting campaign in years hangs in the balance An election campaign in which the two principal parties find it difficult to believe what the opinion polls are telling them is a rum do .,present,continuative,2nd,shove
"`` I do n't know why we <keep coming here ,> '' says an older clown on the bus shuttling us to the big top , `` all it does is rain on us and blow us about . '' In the pub , a group of young clowns are moaning about Bognor .",present,iterative,1st,come
"The Welsh working-class bonhomie and the `` boyo '' body-language <kept breaking through .> Kinnock is resolutely of his place --- principled , passionate , sentimental --- and , by that token , he is not for these times .",past,iterative,3rd,break through
"The radio <keeps telling you that> the eye of the hurricane is here or there , getting near anyway , and you try to figure whether to leave the windows open a crack or tape them and you remember that the highest point of Key West is only 16 feet above sea level , and how the great hurricane of 1936 caught a train half way up the Keys filled with refugees from Key West and drowned them all , and you can get nervous . The earthquake is nowhere , everywhere , gone .",present,iterative,3rd,tell
"Phrases such as `` the `` boyo' body-language <kept breaking through ''> are reminiscent of the tabloids ' anti-Welsh campaign against Kinnock , and it is deplorable that a once-eminent socialist writer should use them . To further suggest that the supposed Kinnockite qualities of being `` principled , passionate , sentimental '' are antiquated is to imply that lack of principle , coldness and hard-nosed calculation are `` for these times '' .",past,iterative,3rd,break through
"It 's the follow-up for a TV programme that <keeps eluding us all> . Made by Taghi Amarani , it was to have gone out in February , with the provocative title Earth , Wind and Fire .",present,iterative,3rd,elude
"But how can you have a good time when you <keep being reminded about> `` the gulf between people who have stuff and the people who have shit '' , or that `` the world does n't make sense [ to me ] any more '' ? In the end , Grand Canyon is more admirable than enjoyable , and more well-meaning than meaningful .",present,iterative,2nd,be reminded
"We already know she is wearing no underwear , and she <keeps crossing and uncrossing> her legs quite brazenly in front of Douglas and his colleagues . Instead of telling the silly tart to go and put some knickers on , as you or I would have done , these guys go all sweaty and hot under the collar , and stare at her , gobsmacked and embarrassed .",present,iterative,3rd,cross
"Any other woman would have been spitting angry at being <kept waiting for four> and a half hours . Fortunately for Quinn , Sam was a trained agent , and had been through her apprenticeship in stake-out duties , than which nothing is more boring .",PASSIVE,PASSIVE,PASSIVE,PASSIVE
"Liberal Lothario Paddy Ashdown can only hope his poll share <keeps growing . Wild> Bill Clinton shows he 's a real front runner when tackling the big issues . Democrat Gary Hart proves that the bigger your are , the more painful the withdrawal .",present,continuative,3rd,grow
"People <kept arguing that the> House of Lords `` works '' . Competence , however makes no difference to the British .",past,iterative,3rd,argue
`` An eternity of time passed during which I had a blazing row with a nosy seagull which <kept hovering over me> . I decided the bird was far better suited to the conditions than me .,past,continuative,3rd,hover
"You will find that , in the initial stages , it is much easier to control the tail if the model is always <kept moving slowly forwards> . If you land with forwards movement when skids are fitted , there is some danger of them `` digging in '' and causing the model to tip over .",PASSIVE,PASSIVE,PASSIVE,PASSIVE
Face up to the fact now that you simply can not <keep altering the trim> to suit every speed or situation that you may encounter . You must learn to `` fly the tail '' all the time by using the rudder stick .,present,iterative,2nd,alter
